File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
P1000_103_1_val_1.fq.gz_bismark_bt2_pe.bam	7360563	6299687	948794	112081	1	2384869	3914818	137476561	4869533	2081204	612003	30113795	1899476	97900550
P1000_104_1_val_1.fq.gz_bismark_bt2_pe.bam	6676601	5691296	872389	112916	0	1502454	4188842	147667038	5290054	2240939	654783	32558385	2013879	104908998
P1000_105_1_val_1.fq.gz_bismark_bt2_pe.bam	7246812	6258033	884793	103986	0	2147431	4110602	145682135	5366855	1978620	640414	32235437	1969159	103491650
P1000_106_1_val_1.fq.gz_bismark_bt2_pe.bam	6739270	5777837	852803	108630	0	1922112	3855725	131930034	4696903	2013813	573379	29002381	1779172	93864386
P1000_107_1_val_1.fq.gz_bismark_bt2_pe.bam	7705029	6606264	970257	128508	0	2067793	4538471	159015116	5803435	2494434	700773	35611270	2104844	112300360
P1000_108_1_val_1.fq.gz_bismark_bt2_pe.bam	8717242	7490521	1095822	130899	0	2800155	4690366	166941505	6107180	2576737	721852	37049083	2189595	118297058
P1000_110_1_val_1.fq.gz_bismark_bt2_pe.bam	6961273	5984221	871476	105576	0	1561478	4422743	154096025	5628631	2235253	684087	34044778	2099141	109404135
P1000_112_1_val_1.fq.gz_bismark_bt2_pe.bam	5659743	4891518	686439	81786	0	1021310	3870208	135277279	4927604	1896523	601307	29914079	1849151	96088615
P1000_113_1_val_1.fq.gz_bismark_bt2_pe.bam	5832764	5018452	713698	100614	0	1270837	3747615	125473310	4541496	1846000	541359	27846696	1662983	89034776
P1000_114_1_val_1.fq.gz_bismark_bt2_pe.bam	8304441	7124781	1027234	152426	0	3354318	3770463	124365541	4674195	1995536	541688	27635244	1634981	87883897
P1000_117_1_val_1.fq.gz_bismark_bt2_pe.bam	8383973	7136868	1104668	142437	0	2880144	4256724	150345172	5503843	2408910	639677	33446574	1945018	106401150
P1000_120_1_val_1.fq.gz_bismark_bt2_pe.bam	7933782	6850077	967665	116040	0	2423561	4426516	152425922	5469410	2199366	634020	33939561	1940955	108242610
P1000_121_1_val_1.fq.gz_bismark_bt2_pe.bam	8329115	7033053	1169247	126815	0	2318096	4714957	164147537	6049070	2707188	681471	36644229	2059365	116006214
P1000_201_1_val_1.fq.gz_bismark_bt2_pe.bam	8477822	7256037	1098710	123071	4	2658882	4597155	160799023	5507826	2796658	686967	35753100	2109956	113944516
P1000_202_1_val_1.fq.gz_bismark_bt2_pe.bam	6503372	5574371	834330	94668	3	1797362	3777009	134897264	4835765	2310740	579560	30162257	1770470	95238472
P1000_203_1_val_1.fq.gz_bismark_bt2_pe.bam	9811105	8469937	1193492	147676	0	4088442	4381495	157374289	5569088	2685617	715125	34908022	2210579	111285858
P1000_204_1_val_1.fq.gz_bismark_bt2_pe.bam	6656552	5699448	846137	110967	0	1562257	4137191	142503635	4763758	2415356	648659	31424116	2059460	101192286
P1000_209_1_val_1.fq.gz_bismark_bt2_pe.bam	6045669	5183518	773523	88627	1	1425015	3758503	132255987	4553885	2236028	570319	29154332	1789457	93951966
