Window Size	Total Windows	Windows Covered (min 1 counts)	Percentage Covered (min 1 counts)	Windows Covered (min 2 counts)	Percentage Covered (min 2 counts)	Windows Covered (min 3 counts)	Percentage Covered (min 3 counts)	Windows Covered (min 4 counts)	Percentage Covered (min 4 counts)	Windows Covered (min 5 counts)	Percentage Covered (min 5 counts)	Windows Covered (min 10 counts)	Percentage Covered (min 10 counts)
100	1123331	696369	61.99%	442586	39.40%	294254	26.19%	205357	18.28%	146605	13.05%	21642	1.93%
200	678163	484986	71.51%	351390	51.81%	258136	38.06%	196757	29.01%	155245	22.89%	56880	8.39%
300	522714	399269	76.38%	304636	58.28%	232380	44.46%	182480	34.91%	147874	28.29%	65268	12.49%
400	441019	350559	79.49%	275069	62.37%	214536	48.65%	171426	38.87%	141049	31.98%	67530	15.31%
500	389739	318727	81.78%	254268	65.24%	200969	51.57%	162200	41.62%	134797	34.59%	67912	17.42%
1000	277810	242636	87.34%	200673	72.23%	162523	58.50%	133981	48.23%	113727	40.94%	64579	23.25%
1500	233526	209680	89.79%	176063	75.39%	143733	61.55%	119433	51.14%	101957	43.66%	60893	26.08%
2000	208447	189949	91.13%	160587	77.04%	131908	63.28%	110158	52.85%	94671	45.42%	57801	27.73%
3000	177463	164754	92.84%	140804	79.34%	116682	65.75%	98234	55.35%	85033	47.92%	53847	30.34%
4000	158134	148301	93.78%	127727	80.77%	106789	67.53%	90582	57.28%	78887	49.89%	50881	32.18%
5000	144742	136449	94.27%	118043	81.55%	99224	68.55%	84645	58.48%	74260	51.31%	48650	33.61%
10000	108279	103620	95.70%	91465	84.47%	78633	72.62%	68509	63.27%	61062	56.39%	41998	38.79%
20000	76205	73812	96.86%	67058	88.00%	59659	78.29%	53646	70.40%	48894	64.16%	35532	46.63%
30000	59913	58314	97.33%	53830	89.85%	49010	81.80%	44973	75.06%	41722	69.64%	31549	52.66%
40000	49452	48287	97.64%	45133	91.27%	41644	84.21%	38797	78.45%	36363	73.53%	28502	57.64%
50000	42161	41227	97.78%	38929	92.33%	36374	86.27%	34176	81.06%	32307	76.63%	25978	61.62%
100000	24473	24050	98.27%	23252	95.01%	22281	91.04%	21489	87.81%	20755	84.81%	18017	73.62%
200000	13416	13217	98.52%	12988	96.81%	12697	94.64%	12430	92.65%	12189	90.85%	11162	83.20%
300000	9226	9098	98.61%	9001	97.56%	8880	96.25%	8773	95.09%	8650	93.76%	8123	88.04%
400000	7029	6942	98.76%	6896	98.11%	6837	97.27%	6763	96.22%	6709	95.45%	6408	91.17%
500000	5677	5611	98.84%	5584	98.36%	5545	97.67%	5512	97.09%	5475	96.44%	5291	93.20%
1000000	2890	2861	99.00%	2857	98.86%	2850	98.62%	2843	98.37%	2836	98.13%	2808	97.16%
2000000	1467	1451	98.91%	1449	98.77%	1447	98.64%	1446	98.57%	1446	98.57%	1443	98.36%
