Window Size	Total Windows	Windows Covered (min 1 counts)	Percentage Covered (min 1 counts)	Windows Covered (min 2 counts)	Percentage Covered (min 2 counts)	Windows Covered (min 3 counts)	Percentage Covered (min 3 counts)	Windows Covered (min 4 counts)	Percentage Covered (min 4 counts)	Windows Covered (min 5 counts)	Percentage Covered (min 5 counts)	Windows Covered (min 10 counts)	Percentage Covered (min 10 counts)
100	30952512	831844	2.69%	519619	1.68%	338759	1.09%	232097	0.75%	163165	0.53%	23561	0.08%
200	15476270	560431	3.62%	412287	2.66%	304192	1.97%	230465	1.49%	180367	1.17%	64370	0.42%
300	10317520	448284	4.34%	351558	3.41%	273976	2.66%	216479	2.10%	174659	1.69%	76015	0.74%
400	7738150	386911	5.00%	313836	4.06%	251865	3.25%	203603	2.63%	167469	2.16%	79229	1.02%
500	6190526	347381	5.61%	287585	4.65%	235143	3.80%	192758	3.11%	160643	2.59%	79802	1.29%
1000	3095275	257054	8.30%	222577	7.19%	188544	6.09%	159031	5.14%	135870	4.39%	75967	2.45%
1500	2063528	219576	10.64%	193596	9.38%	166070	8.05%	141582	6.86%	121826	5.90%	71271	3.45%
2000	1547652	197527	12.76%	175917	11.37%	151897	9.81%	130360	8.42%	112892	7.29%	67523	4.36%
3000	1031778	170056	16.48%	153343	14.86%	133604	12.95%	115573	11.20%	100826	9.77%	62574	6.06%
4000	773844	152401	19.69%	138475	17.89%	121552	15.71%	105932	13.69%	93084	12.03%	58910	7.61%
5000	619075	139923	22.60%	127680	20.62%	112545	18.18%	98645	15.93%	87083	14.07%	56188	9.08%
10000	309551	105652	34.13%	97893	31.62%	87760	28.35%	78376	25.32%	70399	22.74%	48077	15.53%
20000	154789	74917	48.40%	70692	45.67%	64990	41.99%	59630	38.52%	54797	35.40%	40316	26.05%
30000	103202	59103	57.27%	56259	54.51%	52552	50.92%	49052	47.53%	45819	44.40%	35383	34.29%
40000	77408	48881	63.15%	46920	60.61%	44206	57.11%	41698	53.87%	39347	50.83%	31621	40.85%
50000	61932	41690	67.32%	40223	64.95%	38282	61.81%	36425	58.81%	34705	56.04%	28582	46.15%
100000	30982	24293	78.41%	23758	76.68%	23028	74.33%	22344	72.12%	21711	70.08%	19198	61.97%
200000	15509	13345	86.05%	13174	84.94%	12949	83.49%	12755	82.24%	12566	81.02%	11629	74.98%
300000	10351	9179	88.68%	9101	87.92%	9005	87.00%	8922	86.19%	8845	85.45%	8392	81.07%
400000	7774	7004	90.10%	6964	89.58%	6925	89.08%	6867	88.33%	6813	87.64%	6563	84.42%
500000	6227	5664	90.96%	5641	90.59%	5611	90.11%	5580	89.61%	5553	89.18%	5407	86.83%
1000000	3136	2901	92.51%	2896	92.35%	2889	92.12%	2879	91.80%	2872	91.58%	2841	90.59%
2000000	1587	1487	93.70%	1482	93.38%	1480	93.26%	1473	92.82%	1471	92.69%	1461	92.06%
